Goal;Minuten;Doelpunten maker;Latitude;Longitude;;
1;2;Vellios;52.517527;6.120957;;
2;4;Vellios;52.517611;6.120781;;
3;12;Vellios;52.517529;6.120974;;
4;14;Medunjanin;52.517486;6.121052;;
5;20;Taha;52.517502;6.120835;;
6;27;Vellios;52.517610;6.120719;;
7;31;Van den Belt;52.517472;6.120840;;
8;46;Thy;52.516822;6.121033;;
9;59;Beelen;52.516892;6.120972;;
10;62;Thy;52.516814;6.120933;;
11;74;Thy;52.516741;6.120958;;
12;89;Van den Belt;52.516815;6.120994;;
13;91;Van den Berg;52.516804;6.120859;;
